x1,x2,y
2917,5234,8151
7988,3026,11014
4744,1009,5753
1260,7038,8298
3219,8041,11260
3060,6287,9347
2619,9512,12131
2342,3832,6174
3824,2994,6818
4490,8984,13474
2604,1235,3839
2908,9567,12475
4530,6256,10786
3635,9162,12797
3560,6415,9975
4391,6951,11342
6468,9007,15475
7413,7941,15354
5820,3898,9718
8546,1077,9623
8577,5227,13804
1600,2065,3665
3136,7943,11079
8804,7565,16369
6984,6142,13126
5670,3190,8860
3712,3192,6904
2248,5033,7281
2997,4687,7684
5018,2970,7988
9389,6765,16154
2202,9135,11337
6567,8667,15234
6742,6788,13530
6408,9669,16077
1922,1419,3341
3204,2120,5324
1950,3336,5286
6373,3243,9616
3645,5612,9257
2865,7028,9893
8326,7371,15697
7359,8863,16222
4228,4719,8947
3371,3891,7262
4756,5225,9981
1094,3674,4768
7898,1793,9691
3116,6779,9895
7166,1814,8980
1345,9554,10899
3443,8783,12226
1984,8790,10774
1827,4531,6358
8147,5451,13598
4876,6959,11835
1126,4177,5303
9795,7024,16819
6109,5146,11255
8196,4368,12564
4797,2792,7589
6732,4476,11208
4417,2645,7062
4030,3872,7902
4072,2854,6926
5021,5662,10683
7514,6031,13545
3708,8112,11820
9393,4507,13900
7456,5212,12668
8970,9766,18736
1536,2625,4161
8973,9577,18550
9070,9666,18736
9609,7490,17099
4600,7783,12383
5971,2205,8176
2990,6299,9289
4572,6975,11547
7320,5380,12700
5757,3713,9470
6588,1966,8554
5944,4432,10376
1688,5243,6931
4701,9533,14234
6182,7704,13886
5422,2759,8181
3482,9058,12540
1951,9914,11865
3079,3717,6796
5524,9477,15001
8311,8186,16497
3065,1768,4833
6490,7645,14135
6083,6232,12315
6797,5926,12723
7016,4335,11351
9038,5873,14911
2481,7305,9786
4451,1054,5505
8643,4462,13105
1832,6954,8786
9519,8221,17740
4310,4300,8610
7722,8218,15940
8776,4675,13451
4054,8970,13024
3143,6207,9350
3538,5547,9085
6619,9356,15975
7612,6005,13617
1822,1943,3765
7150,5425,12575
9966,3198,13164
5242,4695,9937
4452,2308,6760
5177,9705,14882
7852,7035,14887
4594,5841,10435
2409,5566,7975
5491,2555,8046
1804,2279,4083
8083,6986,15069
6619,2387,9006
3679,3106,6785
9173,5223,14396
5831,3768,9599
4186,3573,7759
3599,5033,8632
9428,2304,11732
8368,6877,15245
2301,3541,5842
3051,7809,10860
9633,9996,19629
1074,7981,9055
6475,9232,15707
8184,6796,14980
8141,2622,10763
9041,1341,10382
3074,8992,12066
1645,5263,6908
9801,7136,16937
9646,3969,13615
4028,8643,12671
3681,4629,8310
5225,4067,9292
6941,2386,9327
3866,5788,9654
6490,5124,11614
9340,4850,14190
6415,8679,15094
7819,9378,17197
2333,5150,7483
7766,3711,11477
5853,7212,13065
8479,6408,14887
8715,9942,18657
2762,8101,10863
8674,7122,15796
1481,1153,2634
8617,2524,11141
3120,3343,6463
6136,6760,12896
2240,1060,3300
2639,7185,9824
8970,2252,11222
5203,9363,14566
4549,5197,9746
8009,7667,15676
3322,5090,8412
7960,4004,11964
6136,1329,7465
4640,8982,13622
5107,2341,7448
9407,1338,10745
6895,3708,10603
2750,6604,9354
3421,8119,11540
9901,6319,16220
7609,6387,13996
4993,9680,14673
9044,9238,18282
5873,5806,11679
9592,6913,16505
8124,4157,12281
1390,5430,6820
9820,8686,18506
5232,9007,14239
2521,2500,5021
7737,4294,12031
6085,3419,9504
4042,5497,9539
2466,4561,7027
1614,6392,8006
8693,4223,12916
8138,3667,11805
8980,1130,10110
3983,5278,9261
8126,9230,17356
8694,7640,16334
6468,1920,8388
8564,9684,18248
9502,9930,19432
4241,1545,5786
5346,4810,10156
8206,3032,11238
9436,1271,10707
4511,2771,7282
5361,8069,13430
1920,9190,11110
4430,5435,9865
4760,3050,7810
2165,9567,11732
3033,7467,10500
1145,5388,6533
8832,9623,18455
9896,9173,19069
3632,5494,9126
9056,8511,17567
2828,5805,8633
1806,8486,10292
9202,2868,12070
8878,6690,15568
8827,6429,15256
4564,2389,6953
8274,1824,10098
3265,1936,5201
7402,4845,12247
2796,9245,12041
8214,1726,9940
3736,2913,6649
8657,3466,12123
8312,9194,17506
8906,5876,14782
8287,1892,10179
5675,2933,8608
2380,2290,4670
2640,8490,11130
2218,6016,8234
7881,1954,9835
8291,1974,10265
5133,6370,11503
4972,6295,11267
9228,4020,13248
9987,5036,15023
6068,6233,12301
1317,3396,4713
3162,3745,6907
2591,7183,9774
4930,2312,7242
5311,8314,13625
3383,4239,7622
3139,2704,5843
7924,1362,9286
3604,5286,8890
4738,3469,8207
5795,7150,12945
1556,3808,5364
6150,8561,14711
3719,7506,11225
4741,4998,9739
3403,9780,13183
1294,6343,7637
2136,3064,5200
8009,5543,13552
2007,6445,8452
6352,2435,8787
1571,3382,4953
6084,1277,7361
8059,2887,10946
2265,8491,10756
2040,9073,11113
3752,9213,12965
5569,7353,12922
3353,8437,11790
5799,1686,7485
9476,5811,15287
9954,6346,16300
6043,3428,9471
6126,9220,15346
8813,4356,13169
9707,8266,17973
7540,1038,8578
4342,3844,8186
2098,8027,10125
2823,4155,6978
4093,6658,10751
4778,3896,8674
1988,5116,7104
7446,5179,12625
2682,6626,9308
8424,1933,10357
4598,2980,7578
4056,9984,14040
1791,6390,8181
7635,3255,10890
4610,2607,7217
6179,7573,13752
1984,6776,8760
4676,4380,9056
9711,9782,19493
2050,4633,6683
7342,1959,9301
7059,9884,16943
6655,5473,12128
3946,8725,12671
1526,4224,5750
2875,2763,5638
9712,6797,16509
8099,6109,14208
7644,1116,8760
3433,6463,9896
1583,9586,11169
4788,5167,9955
9465,2389,11854
9357,7154,16511
6420,9920,16340
3043,5197,8240
4496,1778,6274
1213,4762,5975
7731,4117,11848
6791,9783,16574
3720,9905,13625
7047,9032,16079
1001,7368,8369
2949,7732,10681
8833,1917,10750
4174,8014,12188
1089,2709,3798
4041,1105,5146
9619,2895,12514
7090,9508,16598
7082,1634,8716
2925,3056,5981
7917,4144,12061
1552,9907,11459
6383,4911,11294
4389,9442,13831
3430,1458,4888
1207,1899,3106
1021,9601,10622
1894,1514,3408
8294,5904,14198
8867,5109,13976
8179,2560,10739
2266,4638,6904
9941,4427,14368
5780,2927,8707
3356,5790,9146
1306,8979,10285
4665,8057,12722
1661,5644,7305
9503,3920,13423
9946,7236,17182
7078,1352,8430
8005,1158,9163
1956,3071,5027
9595,4453,14048
7675,1955,9630
7295,2712,10007
5703,7563,13266
6631,2394,9025
5732,4714,10446
1529,3958,5487
8904,4591,13495
7895,1525,9420
7477,1001,8478
1374,5648,7022
3365,2525,5890
2646,1013,3659
5599,3278,8877
4155,9321,13476
4814,4216,9030
9219,3113,12332
5356,6543,11899
5555,8062,13617
4374,7430,11804
4466,4081,8547
1629,1269,2898
6724,6897,13621
4432,7276,11708
6895,8115,15010
7656,1575,9231
8029,7099,15128
4192,4178,8370
7052,3734,10786
7116,4568,11684
3203,2390,5593
2742,2925,5667
1619,2274,3893
1956,2939,4895
4953,1968,6921
1281,7262,8543
2058,5293,7351
6178,7980,14158
2229,5585,7814
9467,3740,13207
3289,2239,5528
6370,1125,7495
8473,6342,14815
8351,7638,15989
7570,4249,11819
8595,7294,15889
7527,6757,14284
2969,1891,4860
5470,8175,13645
9320,7812,17132
8519,5612,14131
2198,6238,8436
7089,7257,14346
8705,4719,13424
1302,1986,3288
5440,5909,11349
4072,4124,8196
9125,4291,13416
5033,6105,11138
1703,9133,10836
1574,6704,8278
8848,6208,15056
7924,4828,12752
4230,1488,5718
8114,4173,12287
2667,5114,7781
4553,8761,13314
2000,2388,4388
6450,4712,11162
2367,9189,11556
1454,3772,5226
4726,8232,12958
5806,3190,8996
3875,6592,10467
2440,9927,12367
7059,8010,15069
8117,3989,12106
7228,7471,14699
3863,2177,6040
5760,1011,6771
6252,5399,11651
9234,6445,15679
7570,9212,16782
1406,5431,6837
6243,7542,13785
7936,9906,17842
5146,1140,6286
5882,7012,12894
1963,8151,10114
9564,4610,14174
7894,8311,16205
1105,6539,7644
7787,3137,10924
5445,4530,9975
2286,8052,10338
4654,8102,12756
3359,9105,12464
9636,7441,17077
6047,9227,15274
6203,2798,9001
6291,6495,12786
7284,8285,15569
2300,7869,10169
4097,5616,9713
1009,6752,7761
7295,5815,13110
2072,4225,6297
2316,6699,9015
7807,7674,15481
4683,8227,12910
4273,8000,12273
1145,6010,7155
4040,1482,5522
4179,2249,6428
1630,9853,11483
3852,1987,5839
8622,8327,16949
9841,2100,11941
7652,9632,17284
8421,6016,14437
1769,2343,4112
5358,7780,13138
7602,3349,10951
6699,2241,8940
2125,7764,9889
6101,8843,14944
1072,6472,7544
6189,3472,9661
1707,2804,4511
7704,4713,12417
6051,3475,9526
4610,5255,9865
8397,2735,11132
9258,8979,18237
3428,8426,11854
9533,6249,15782
6291,3817,10108
4874,5211,10085
1661,4374,6035
1207,3665,4872
3493,7813,11306
1632,4083,5715
4719,8123,12842
2679,1236,3915
8446,5443,13889
7770,7099,14869
9555,3368,12923
1285,1148,2433
5037,7549,12586
8121,5895,14016
6280,2012,8292
3785,4725,8510
5576,6782,12358
7257,3408,10665
1340,3817,5157
3496,6962,10458
6299,8574,14873
2689,4267,6956
5406,9453,14859
2442,9597,12039
5437,6435,11872
9435,5107,14542
1560,9785,11345
6548,2826,9374
8629,9325,17954
4138,8693,12831
9264,8842,18106
7721,8002,15723
5225,3978,9203
8373,6907,15280
7097,6656,13753
9984,5259,15243
9286,6901,16187
5917,9429,15346
3530,2960,6490
8045,2048,10093
6772,3529,10301
3964,8137,12101
1963,1536,3499
8340,8179,16519
8967,9734,18701
1845,6777,8622
4036,6947,10983
3494,3719,7213
2884,5349,8233
6179,7610,13789
7430,8154,15584
7488,5737,13225
7525,4850,12375
1689,6175,7864
9648,6078,15726
6448,2179,8627
7406,9591,16997
7907,9800,17707
2638,6671,9309
7928,2382,10310
2403,4292,6695
1419,5517,6936
4302,8857,13159
8870,6693,15563
1767,3044,4811
2549,7140,9689
4716,5481,10197
8898,7548,16446
3293,5837,9130
8758,7793,16551
8638,8993,17631
7007,6542,13549
7356,9433,16789
8380,3385,11765
5268,1671,6939
1163,9656,10819
5592,5795,11387
5798,7036,12834
3355,6887,10242
8961,6827,15788
9737,5719,15456
1593,5839,7432
8394,4493,12887
7164,3672,10836
5200,1016,6216
4191,1392,5583
9616,7272,16888
1571,4631,6202
7172,8177,15349
9433,4897,14330
9123,3279,12402
9980,8451,18431
9906,1775,11681
7869,3247,11116
8088,1078,9166
9080,8099,17179
4926,8340,13266
8083,7230,15313
5940,4271,10211
4456,8788,13244
9599,8650,18249
3711,2668,6379
1147,7420,8567
1365,5531,6896
6330,6510,12840
9754,9964,19718
7493,6439,13932
7511,8504,16015
2246,4839,7085
9551,3376,12927
4009,2827,6836
7979,9569,17548
5285,7910,13195
9561,3196,12757
4747,9843,14590
6978,6607,13585
1769,1780,3549
7303,4983,12286
9714,1521,11235
8569,6784,15353
5583,6946,12529
5941,7267,13208
8128,3461,11589
1685,3160,4845
8031,6341,14372
1038,5875,6913
2256,8697,10953
3196,8165,11361
1301,8527,9828
7381,1646,9027
9789,9853,19642
5330,8003,13333
4537,5558,10095
7579,9474,17053
5082,5183,10265
9652,4754,14406
2724,2376,5100
9706,9894,19600
2653,3066,5719
1022,3460,4482
6926,7251,14177
8295,4300,12595
7279,9553,16832
8353,4727,13080
7272,6995,14267
1514,1448,2962
7019,6343,13362
9033,3520,12553
4081,2428,6509
4967,7445,12412
3159,6132,9291
3547,3979,7526
3649,9505,13154
4083,2037,6120
4489,8604,13093
8544,3634,12178
4983,2778,7761
8902,6110,15012
6189,8378,14567
2124,1697,3821
3179,6251,9430
2929,2013,4942
1226,8321,9547
2828,8909,11737
6588,3023,9611
5966,6891,12857
2080,6036,8116
3563,4292,7855
4586,5431,10017
7841,7643,15484
4959,1161,6120
1593,4390,5983
6997,7354,14351
1663,1541,3204
6433,6093,12526
1867,9623,11490
6469,7256,13725
2169,1830,3999
2651,2136,4787
3810,9667,13477
2019,6237,8256
2283,1659,3942
3010,9590,12600
2733,3125,5858
3171,9266,12437
4471,6624,11095
9691,9329,19020
3097,6068,9165
7397,3757,11154
4920,9186,14106
2900,3610,6510
7900,2449,10349
9738,6017,15755
8999,7052,16051
3096,9895,12991
7404,4331,11735
8462,6105,14567
3978,3839,7817
4384,1685,6069
8531,5283,13814
8736,8710,17446
2619,7868,10487
2431,5713,8144
5998,1162,7160
2974,4291,7265
9461,1631,11092
1905,3014,4919
8896,1204,10100
1581,6675,8256
6347,3643,9990
9017,3297,12314
1874,6560,8434
1689,5000,6689
1671,8927,10598
2171,6591,8762
7342,2449,9791
3539,4959,8498
7285,6432,13717
5260,3361,8621
7164,4670,11834
2753,9100,11853
2938,9562,12500
6976,7588,14564
9616,7304,16920
8345,8875,17220
7633,1597,9230
4062,3336,7398
1572,8521,10093
7171,8097,15268
3090,7566,10656
5624,2633,8257
2517,4648,7165
2537,4137,6674
7985,1097,9082
4750,9535,14285
9174,9103,18277
6413,5666,12079
1610,2727,4337
2854,6055,8909
3324,6774,10098
7519,2749,10268
1781,8548,10329
7823,3105,10928
4867,8193,13060
5976,3113,9089
6879,4970,11849
8264,2577,10841
3274,5869,9143
7744,3426,11170
6546,7852,14398
3551,7411,10962
1007,9087,10094
3555,1475,5030
6416,9676,16092
8239,7710,15949
6000,5654,11654
9078,7063,16141
3285,6223,9508
7971,4525,12496
3822,5943,9765
7530,1258,8788
1282,2898,4180
5135,7629,12764
4200,6110,10310
8167,1612,9779
1687,4690,6377
9804,3307,13111
8133,7509,15642
6906,3591,10497
8183,6248,14431
9766,6108,15874
4604,1669,6273
5364,8329,13693
2283,1923,4206
2125,2529,4654
9438,4711,14149
9004,7274,16278
4864,8833,13697
7788,1226,9014
1264,1645,2909
8544,6569,15113
3990,3504,7494
1587,5079,6666
4348,7299,11647
4831,9381,14212
2715,7450,10165
6433,2098,8531
8096,3326,11422
7416,7980,15396
7763,2674,10437
8950,9915,18865
7049,2089,9138
5578,1155,6733
2958,7344,10302
6779,7144,13923
6063,4830,10893
9831,7659,17490
1441,7040,8481
6925,8358,15283
5628,7370,12998
1948,9179,11127
7115,1459,8574
8568,5646,14214
1392,2787,4179
8374,2138,10512
5741,8418,14159
7362,3454,10816
4674,2377,7051
7701,3597,11298
1141,3659,4800
5596,6661,12257
7142,6626,13768
9787,9472,19259
1423,7999,9422
5249,2750,7999
5757,2967,8724
5088,5178,10266
8789,3946,12735
6394,8880,15274
6075,8230,14305
2531,3990,6521
8155,5493,13648
1933,2460,4393
3723,1285,5008
1264,7816,9080
2762,1040,3802
6827,9259,16086
1987,8804,10791
8789,6717,15506
4198,6374,10572
5790,8183,13973
3524,3479,7003
6154,1778,7932
2492,1660,4152
2348,8851,11199
8156,3044,11200
8368,4516,12884
5577,1727,7304
8468,1342,9810
2447,7581,10028
7317,1526,8843
7748,1405,9153
8986,4740,13726
2846,2478,5324
1771,6525,8296
9770,1193,10963
3007,2185,5192
3394,5005,8399
8429,3261,11690
4736,7716,12452
5875,9921,15796
5378,8815,14193
4451,8616,13067
3800,9333,13133
6410,2455,8865
7892,6808,14700
7796,5796,13592
6093,2325,8418
5976,2159,8135
5650,5987,11637
5697,1340,7037
4828,2968,7796
1703,6482,8185
7376,2800,10176
6463,5912,12375
5648,1855,7503
3866,1182,5048
4112,6670,10782
5492,6823,12315
2517,6002,8519
2356,4629,6985
4628,9210,13838
7132,7588,14720
4311,7048,11359
7246,1987,9233
4321,5615,9936
9365,4741,14106
4052,7574,11626
1726,4760,6486
6806,2875,9681
7993,5033,13026
6443,1989,8432
4744,9611,14355
1593,2774,4367
1935,4808,6743
1331,8922,10253
3702,6889,10591
6054,4868,10922
5200,1201,6401
3497,2842,6339
5658,8544,14202
8718,1770,10488
4155,2628,6783
1386,7031,8417
7439,7401,14840
5008,3466,8474
3282,2856,6138
8980,2998,11978
6476,5669,12145
5318,8064,13382
8446,2431,10877
6624,8461,15085
2819,2130,4949
7563,3658,11221
4500,9566,14066
3120,5020,8140
4259,2823,7082
2474,3242,5716
4243,7990,12233
6160,4134,10294
3070,1359,4429
2141,2635,4776
5000,4361,9361
7583,8835,16418
1006,4267,5273
7564,5928,13492
3606,6906,10512
4273,8611,12884
1913,3011,4924
2442,6546,8988
2829,9767,12596
7468,1929,9397
4699,2054,6753
6744,2900,9644
7980,8069,16049
4415,1442,5857
7218,5652,12870
8939,8833,17772
8597,5458,14055
7591,3309,10900
7268,1910,9178
5340,5009,10349
7628,3169,10797
3172,6668,9840
7313,9315,16628
9036,7789,16825
1785,7139,8924
7344,3416,10760
9988,5154,15142
6619,2936,9555
4807,8151,12958
4236,3352,7588
2932,9556,12488
5916,6498,12414
1946,2439,4385
8730,5857,14587
1340,1382,2722
9491,1138,10629
1358,5931,7289
4456,2627,7083
7626,6004,13630
7652,7416,15068
4170,4835,9005
9017,3151,12168
7905,3834,11739
3567,2307,5874
9848,3660,13508
4730,7207,11937
4162,2140,6302
9458,2708,12166
4630,4211,8841
7538,1475,9013
8684,2207,10891
2960,1557,4517
1882,5761,7643
6867,7963,14830
8166,8929,17095
6347,8269,14616
9125,3454,12579
5494,2946,8440
3808,7642,11450
4825,4536,9361
7068,4802,11870
5699,2970,8669
6806,7142,13948
3819,1364,5183
5258,4119,9377
2863,1115,3978
8084,9016,17100
3384,4935,8319
8742,6442,15184
3490,7980,11470
8661,2724,11385
9182,3767,12949
2137,5117,7254
4420,6845,11265
5778,4906,10684
4637,3953,8590
6929,1276,8205
2999,2227,5226
7337,4735,12072
1695,5152,6847
8901,8470,17371
8537,3841,12378
5208,9733,14941
2088,4363,6451
1024,7144,8168
6668,5236,11904
9068,3235,12303
8295,9392,17687
9448,4747,14195
4175,5897,10072
6037,8427,14464
9605,3014,12619
2381,2098,4479
4426,4655,9081
8938,1187,10125
6409,3092,9501
3130,6242,9372
9549,6647,16196
6185,6776,12961
8913,8547,17460
8823,8355,17178
7465,2497,9962
3555,6409,9964
3951,2238,6189
5727,4965,10692
6686,4701,11387
3780,8398,12178
2588,3368,5956
6789,1436,8225
3828,2556,6384
8570,8480,17050
1182,8190,9372
7687,6565,14252
8241,8651,16892
6575,2589,9164
9851,1159,11010
7555,9244,16799
7846,3307,11153
2228,8226,10454
6590,7919,14509
6585,7046,13631
5945,8927,14872
8016,8758,16774
6086,8161,14247
2884,2809,5693
4167,7352,11519
7056,3437,10493
7468,6951,14419
6276,9859,16135
8818,5728,14546
3624,6738,10362
5232,6793,12025
5523,6571,12094
3224,9389,12613
7091,9662,16753
7361,2948,10309
8094,7318,15412
4796,1234,6030
4607,9043,13650
1522,6904,8426
5888,6832,12720
8122,6842,14964
2316,2124,4440
6621,6423,13044
3587,6672,10259
2378,4374,6752
2519,6777,9296
8935,7093,16028
9418,6355,15773
5968,6574,12542
5072,3257,8329
9588,5424,15012
4237,4893,9130
3005,3016,6021
2772,9353,12125
4976,2751,7727
9967,8430,18397
8170,7469,15639
4220,1539,5759
2461,6184,8645
9547,1234,10781
2548,8480,11028
5213,2673,7886
7708,8982,16690
3100,4748,7848
4173,2815,6988
4841,9016,13857
8011,5493,13504
1674,9088,10762
9578,3158,12736
3661,3064,6725
4253,5979,10232
8703,9931,18634
2401,4259,6660
4923,5214,10137
4227,3745,7972
7091,4866,11957
6818,3222,10040
3792,5063,8855
2524,9224,11748
7198,5025,12223
3566,3803,7369
4709,7155,11864
1719,7516,9235
5579,1972,7551
4718,8395,13113
5402,5552,10954
3207,5426,8633
7919,9835,17754
9386,9680,19066
3204,6345,9549
4276,2102,6378
6243,7614,13857
9707,6223,15930
9584,1630,11214
7683,1277,8960
1232,6690,7922
8659,1025,9684
8468,7410,15878
9652,4764,14416
7599,6102,13701
8006,4483,12489
2994,9682,12676
2072,7707,9779
1215,8605,9820
3606,9350,12956
5781,4313,10094
8763,6939,15702
3295,6685,9980
2696,2946,5642
3783,4644,8427
6241,7420,13661
8557,3645,12202
7589,7353,14942
2932,2757,5689
6085,6637,12722
2116,1492,3608
9811,8888,18699
7474,5958,13432
3743,8866,12609
8160,6451,14611
6258,9548,15806
8186,7102,15288
1619,1882,3501
9988,4642,14630
2296,9436,11732
3895,7593,11488
1929,6366,8295
9711,4212,13923
3409,9199,12608
4423,7976,12399
8594,6158,14752
4667,6973,11640
7236,9277,16513
3468,7217,10685
4619,2636,7255
9155,4583,13738
5009,4326,9335
9148,3217,12365
5967,3369,9336
4638,6722,11360
5444,8618,14062
4947,2676,7623
2196,3787,5983
8432,8927,17359
